service,day_of_week,day_name,hour,trips,revenue,tipped_trips,tip_observable_trips,tip_observable_tip,tip_observable_fare
fhvhv,0,Sunday,0,579926,14863248.43,150419,579926,589874.06,11942135.52
fhvhv,0,Sunday,1,512414,12867621.94,133366,512414,511718.13,10324277.77
fhvhv,0,Sunday,2,421453,10463077.58,109558,421453,414786.26,8389464.82
fhvhv,0,Sunday,3,305123,7504932.29,80153,305123,299269.38,6011702.24
fhvhv,0,Sunday,4,197385,4846825.61,51090,197385,190748.46,3884370.71
fhvhv,0,Sunday,5,127857,3205327.56,33463,127857,128452.0,2571111.11
fhvhv,0,Sunday,6,107919,2881127.2,28132,107919,114195.45,2322064.46
fhvhv,0,Sunday,7,137181,4095326.96,35829,137181,163701.24,3321205.25
fhvhv,0,Sunday,8,195775,6432288.28,50910,195775,258413.3,5244259.1
fhvhv,0,Sunday,9,284983,9591496.53,74215,284983,387409.62,7826264.02
fhvhv,0,Sunday,10,372009,12360818.92,96493,372009,496969.15,10081953.47
fhvhv,0,Sunday,11,452320,14738576.29,117809,452320,591930.9,12009540.16
fhvhv,0,Sunday,12,501492,16279661.68,129771,501492,652896.24,13265657.9
fhvhv,0,Sunday,13,521608,17080031.03,134969,521608,681887.64,13923587.65
fhvhv,0,Sunday,14,530838,17819565.79,138227,530838,721541.42,14534013.12
fhvhv,0,Sunday,15,541887,18722814.74,140704,541887,755697.74,15299471.9
fhvhv,0,Sunday,16,550402,19516840.03,143726,550402,792369.84,15964509.12
fhvhv,0,Sunday,17,579158,20977739.35,150431,579158,844289.34,17184120.68
fhvhv,0,Sunday,18,589409,20601567.34,153401,589409,833050.16,16842511.85
fhvhv,0,Sunday,19,569840,18579322.65,148352,569840,750081.33,15136336.6
fhvhv,0,Sunday,20,541832,16450188.16,140810,541832,658885.69,13350942.13
fhvhv,0,Sunday,21,530780,15054710.92,137707,530780,600321.53,12175141.07
fhvhv,0,Sunday,22,550408,14849596.09,142704,550408,591025.86,11972167.74
fhvhv,0,Sunday,23,589419,15399447.08,153520,589419,612388.68,12390595.73
