month,service,service_label,zone_id,zone,borough,service_zone,is_airport,has_geometry,centroid_lon,centroid_lat,trips,revenue,fare_revenue,distance_mi,duration_s,airport_trips,tipped_trips,tip_observable_trips,tip_observable_tip,tip_observable_fare,unknown_zone_trips
2021-07-01,fhvhv,High Volume For Hire Vehicle,1,Newark Airport,EWR,EWR,true,true,-74.174002,40.69183,432,15940.62,11318.09,1983.95,613519.0,432,97,432,471.4,11318.09,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,2,Jamaica Bay,Queens,Boro Zone,false,true,-73.8313,40.616746,174,5546.82,4675.08,812.7,257140.0,21,43,174,238.82,4675.08,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,3,Allerton/Pelham Gardens,Bronx,Boro Zone,false,true,-73.847422,40.864474,1852,57988.98,48830.33,8482.77,2669379.0,44,499,1852,2508.55,48830.33,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,4,Alphabet City,Manhattan,Yellow Zone,false,true,-73.976968,40.723752,2971,97220.84,75933.26,13103.0,4123194.0,67,762,2971,3656.41,75933.26,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,5,Arden Heights,Staten Island,Boro Zone,false,true,-74.188485,40.552659,6415,197259.61,166372.22,28988.57,9022864.0,172,1665,6415,8168.66,166372.22,4
2021-07-01,fhvhv,High Volume For Hire Vehicle,6,Arrochar/Fort Wadsworth,Staten Island,Boro Zone,false,true,-74.07177,40.600324,2149,63542.16,53499.6,9318.33,2858092.0,49,577,2149,2733.74,53499.6,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,7,Astoria,Queens,Boro Zone,false,true,-73.919694,40.761493,60136,1831831.65,1545376.36,268462.74,83700162.0,8762,15516,60136,75551.49,1545376.36,46
2021-07-01,fhvhv,High Volume For Hire Vehicle,8,Astoria Park,Queens,Boro Zone,false,true,-73.923086,40.778559,1893,56570.84,47773.98,8296.91,2570661.0,270,495,1893,2354.3,47773.98,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,9,Auburndale,Queens,Boro Zone,false,true,-73.787949,40.751034,2537,77084.14,65143.23,11292.84,3532282.0,378,663,2537,3055.39,65143.23,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,10,Baisley Park,Queens,Boro Zone,false,true,-73.790987,40.678953,5038,153927.42,129560.78,22373.9,7047589.0,713,1327,5038,6783.27,129560.78,7
2021-07-01,fhvhv,High Volume For Hire Vehicle,11,Bath Beach,Brooklyn,Boro Zone,false,true,-74.007488,40.604273,2010,61042.18,51286.41,8901.05,2772273.0,50,541,2010,2689.83,51286.41,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,12,Battery Park,Manhattan,Yellow Zone,false,true,-74.015563,40.702946,3235,105390.8,82352.58,14271.91,4452235.0,71,812,3235,3932.45,82352.58,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,13,Battery Park City,Manhattan,Yellow Zone,false,true,-74.016079,40.712038,4756,157948.66,123446.2,21363.64,6727784.0,110,1228,4756,6095.62,123446.2,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,14,Bay Ridge,Brooklyn,Boro Zone,false,true,-74.029893,40.624834,2337,70904.77,59756.73,10412.78,3223836.0,41,638,2337,3062.58,59756.73,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,15,Bay Terrace/Fort Totten,Queens,Boro Zone,false,true,-73.785973,40.783333,3879,116712.8,98255.11,16997.66,5308417.0,561,1009,3879,4845.1,98255.11,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,16,Bayside,Queens,Boro Zone,false,true,-73.773421,40.762738,1967,59756.45,50364.73,8720.7,2730277.0,281,503,1967,2517.51,50364.73,3
