holiday_date,holiday_name,holiday_scope
2009-01-01,"New Year's Day",federal
2009-01-19,"Martin Luther King Jr. Day",federal
2009-02-16,"Washington's Birthday",federal
2009-05-25,"Memorial Day",federal
2009-07-03,"Independence Day (observed)",federal
2009-07-04,"Independence Day",federal
2009-09-07,"Labor Day",federal
2009-10-12,"Columbus Day",federal
2009-11-03,"Election Day",new_york_state
2009-11-11,"Veterans Day",federal
2009-11-26,"Thanksgiving Day",federal
2009-12-25,"Christmas Day",federal
2010-01-01,"New Year's Day",federal
2010-01-18,"Martin Luther King Jr. Day",federal
2010-02-15,"Washington's Birthday",federal
2010-05-31,"Memorial Day",federal
2010-07-04,"Independence Day",federal
2010-07-05,"Independence Day (observed)",federal
2010-09-06,"Labor Day",federal
2010-10-11,"Columbus Day",federal
2010-11-02,"Election Day",new_york_state
2010-11-11,"Veterans Day",federal
2010-11-25,"Thanksgiving Day",federal
2010-12-24,"Christmas Day (observed)",federal
2010-12-25,"Christmas Day",federal
2010-12-31,"New Year's Day (observed)",federal
2011-01-01,"New Year's Day",federal
2011-01-17,"Martin Luther King Jr. Day",federal
2011-02-21,"Washington's Birthday",federal
2011-05-30,"Memorial Day",federal
2011-07-04,"Independence Day",federal
2011-09-05,"Labor Day",federal
2011-10-10,"Columbus Day",federal
2011-11-08,"Election Day",new_york_state
2011-11-11,"Veterans Day",federal
2011-11-24,"Thanksgiving Day",federal
2011-12-25,"Christmas Day",federal
2011-12-26,"Christmas Day (observed)",federal
2012-01-01,"New Year's Day",federal
2012-01-02,"New Year's Day (observed)",federal
2012-01-16,"Martin Luther King Jr. Day",federal
2012-02-20,"Washington's Birthday",federal
2012-05-28,"Memorial Day",federal
2012-07-04,"Independence Day",federal
2012-09-03,"Labor Day",federal
2012-10-08,"Columbus Day",federal
2012-11-06,"Election Day",new_york_state
2012-11-11,"Veterans Day",federal
2012-11-12,"Veterans Day (observed)",federal
2012-11-22,"Thanksgiving Day",federal
2012-12-25,"Christmas Day",federal
2013-01-01,"New Year's Day",federal
2013-01-21,"Martin Luther King Jr. Day",federal
2013-02-18,"Washington's Birthday",federal
2013-05-27,"Memorial Day",federal
2013-07-04,"Independence Day",federal
2013-09-02,"Labor Day",federal
2013-10-14,"Columbus Day",federal
2013-11-05,"Election Day",new_york_state
2013-11-11,"Veterans Day",federal
2013-11-28,"Thanksgiving Day",federal
2013-12-25,"Christmas Day",federal
2014-01-01,"New Year's Day",federal
2014-01-20,"Martin Luther King Jr. Day",federal
2014-02-17,"Washington's Birthday",federal
2014-05-26,"Memorial Day",federal
2014-07-04,"Independence Day",federal
2014-09-01,"Labor Day",federal
2014-10-13,"Columbus Day",federal
2014-11-04,"Election Day",new_york_state
2014-11-11,"Veterans Day",federal
2014-11-27,"Thanksgiving Day",federal
2014-12-25,"Christmas Day",federal
2015-01-01,"New Year's Day",federal
2015-01-19,"Martin Luther King Jr. Day",federal
2015-02-16,"Washington's Birthday",federal
2015-05-25,"Memorial Day",federal
2015-07-03,"Independence Day (observed)",federal
2015-07-04,"Independence Day",federal
2015-09-07,"Labor Day",federal
2015-10-12,"Columbus Day",federal
2015-11-03,"Election Day",new_york_state
2015-11-11,"Veterans Day",federal
2015-11-26,"Thanksgiving Day",federal
2015-12-25,"Christmas Day",federal
2016-01-01,"New Year's Day",federal
2016-01-18,"Martin Luther King Jr. Day",federal
2016-02-15,"Washington's Birthday",federal
2016-05-30,"Memorial Day",federal
2016-07-04,"Independence Day",federal
2016-09-05,"Labor Day",federal
2016-10-10,"Columbus Day",federal
2016-11-08,"Election Day",new_york_state
2016-11-11,"Veterans Day",federal
2016-11-24,"Thanksgiving Day",federal
2016-12-25,"Christmas Day",federal
2016-12-26,"Christmas Day (observed)",federal
2017-01-01,"New Year's Day",federal
2017-01-02,"New Year's Day (observed)",federal
2017-01-16,"Martin Luther King Jr. Day",federal
2017-02-20,"Washington's Birthday",federal
2017-05-29,"Memorial Day",federal
2017-07-04,"Independence Day",federal
2017-09-04,"Labor Day",federal
2017-10-09,"Columbus Day",federal
2017-11-07,"Election Day",new_york_state
2017-11-10,"Veterans Day (observed)",federal
2017-11-11,"Veterans Day",federal
2017-11-23,"Thanksgiving Day",federal
2017-12-25,"Christmas Day",federal
2018-01-01,"New Year's Day",federal
2018-01-15,"Martin Luther King Jr. Day",federal
2018-02-19,"Washington's Birthday",federal
2018-05-28,"Memorial Day",federal
2018-07-04,"Independence Day",federal
2018-09-03,"Labor Day",federal
2018-10-08,"Columbus Day",federal
2018-11-06,"Election Day",new_york_state
2018-11-11,"Veterans Day",federal
2018-11-12,"Veterans Day (observed)",federal
2018-11-22,"Thanksgiving Day",federal
2018-12-25,"Christmas Day",federal
2019-01-01,"New Year's Day",federal
2019-01-21,"Martin Luther King Jr. Day",federal
2019-02-18,"Washington's Birthday",federal
2019-05-27,"Memorial Day",federal
2019-07-04,"Independence Day",federal
2019-09-02,"Labor Day",federal
2019-10-14,"Columbus Day",federal
2019-11-05,"Election Day",new_york_state
2019-11-11,"Veterans Day",federal
2019-11-28,"Thanksgiving Day",federal
2019-12-25,"Christmas Day",federal
2020-01-01,"New Year's Day",federal
2020-01-20,"Martin Luther King Jr. Day",federal
2020-02-17,"Washington's Birthday",federal
2020-05-25,"Memorial Day",federal
2020-07-03,"Independence Day (observed)",federal
2020-07-04,"Independence Day",federal
2020-09-07,"Labor Day",federal
2020-10-12,"Columbus Day",federal
2020-11-03,"Election Day",new_york_state
2020-11-11,"Veterans Day",federal
2020-11-26,"Thanksgiving Day",federal
2020-12-25,"Christmas Day",federal
2021-01-01,"New Year's Day",federal
2021-01-18,"Martin Luther King Jr. Day",federal
2021-02-15,"Washington's Birthday",federal
2021-05-31,"Memorial Day",federal
2021-06-18,"Juneteenth National Independence Day (observed)",federal
2021-06-19,"Juneteenth National Independence Day",federal
2021-07-04,"Independence Day",federal
2021-07-05,"Independence Day (observed)",federal
2021-09-06,"Labor Day",federal
2021-10-11,"Columbus Day",federal
2021-11-02,"Election Day",new_york_state
2021-11-11,"Veterans Day",federal
2021-11-25,"Thanksgiving Day",federal
2021-12-24,"Christmas Day (observed)",federal
2021-12-25,"Christmas Day",federal
2021-12-31,"New Year's Day (observed)",federal
2022-01-01,"New Year's Day",federal
2022-01-17,"Martin Luther King Jr. Day",federal
2022-02-21,"Washington's Birthday",federal
2022-05-30,"Memorial Day",federal
2022-06-19,"Juneteenth National Independence Day",federal
2022-06-20,"Juneteenth National Independence Day (observed)",federal
2022-07-04,"Independence Day",federal
2022-09-05,"Labor Day",federal
2022-10-10,"Columbus Day",federal
2022-11-08,"Election Day",new_york_state
2022-11-11,"Veterans Day",federal
2022-11-24,"Thanksgiving Day",federal
2022-12-25,"Christmas Day",federal
2022-12-26,"Christmas Day (observed)",federal
2023-01-01,"New Year's Day",federal
2023-01-02,"New Year's Day (observed)",federal
2023-01-16,"Martin Luther King Jr. Day",federal
2023-02-20,"Washington's Birthday",federal
2023-05-29,"Memorial Day",federal
2023-06-19,"Juneteenth National Independence Day",federal
2023-07-04,"Independence Day",federal
2023-09-04,"Labor Day",federal
2023-10-09,"Columbus Day",federal
2023-11-07,"Election Day",new_york_state
2023-11-10,"Veterans Day (observed)",federal
2023-11-11,"Veterans Day",federal
2023-11-23,"Thanksgiving Day",federal
2023-12-25,"Christmas Day",federal
2024-01-01,"New Year's Day",federal
2024-01-15,"Martin Luther King Jr. Day",federal
2024-02-19,"Washington's Birthday",federal
2024-05-27,"Memorial Day",federal
2024-06-19,"Juneteenth National Independence Day",federal
2024-07-04,"Independence Day",federal
2024-09-02,"Labor Day",federal
2024-10-14,"Columbus Day",federal
2024-11-05,"Election Day",new_york_state
2024-11-11,"Veterans Day",federal
2024-11-28,"Thanksgiving Day",federal
2024-12-25,"Christmas Day",federal
2025-01-01,"New Year's Day",federal
2025-01-20,"Martin Luther King Jr. Day",federal
2025-02-17,"Washington's Birthday",federal
2025-05-26,"Memorial Day",federal
2025-06-19,"Juneteenth National Independence Day",federal
2025-07-04,"Independence Day",federal
2025-09-01,"Labor Day",federal
2025-10-13,"Columbus Day",federal
2025-11-04,"Election Day",new_york_state
2025-11-11,"Veterans Day",federal
2025-11-27,"Thanksgiving Day",federal
2025-12-25,"Christmas Day",federal
2026-01-01,"New Year's Day",federal
2026-01-19,"Martin Luther King Jr. Day",federal
2026-02-16,"Washington's Birthday",federal
2026-05-25,"Memorial Day",federal
2026-06-19,"Juneteenth National Independence Day",federal
2026-07-03,"Independence Day (observed)",federal
2026-07-04,"Independence Day",federal
2026-09-07,"Labor Day",federal
2026-10-12,"Columbus Day",federal
2026-11-03,"Election Day",new_york_state
2026-11-11,"Veterans Day",federal
2026-11-26,"Thanksgiving Day",federal
2026-12-25,"Christmas Day",federal
2027-01-01,"New Year's Day",federal
2027-01-18,"Martin Luther King Jr. Day",federal
2027-02-15,"Washington's Birthday",federal
2027-05-31,"Memorial Day",federal
2027-06-18,"Juneteenth National Independence Day (observed)",federal
2027-06-19,"Juneteenth National Independence Day",federal
2027-07-04,"Independence Day",federal
2027-07-05,"Independence Day (observed)",federal
2027-09-06,"Labor Day",federal
2027-10-11,"Columbus Day",federal
2027-11-02,"Election Day",new_york_state
2027-11-11,"Veterans Day",federal
2027-11-25,"Thanksgiving Day",federal
2027-12-24,"Christmas Day (observed)",federal
2027-12-25,"Christmas Day",federal
2027-12-31,"New Year's Day (observed)",federal
2028-01-01,"New Year's Day",federal
2028-01-17,"Martin Luther King Jr. Day",federal
2028-02-21,"Washington's Birthday",federal
2028-05-29,"Memorial Day",federal
2028-06-19,"Juneteenth National Independence Day",federal
2028-07-04,"Independence Day",federal
2028-09-04,"Labor Day",federal
2028-10-09,"Columbus Day",federal
2028-11-07,"Election Day",new_york_state
2028-11-10,"Veterans Day (observed)",federal
2028-11-11,"Veterans Day",federal
2028-11-23,"Thanksgiving Day",federal
2028-12-25,"Christmas Day",federal
2029-01-01,"New Year's Day",federal
2029-01-15,"Martin Luther King Jr. Day",federal
2029-02-19,"Washington's Birthday",federal
2029-05-28,"Memorial Day",federal
2029-06-19,"Juneteenth National Independence Day",federal
2029-07-04,"Independence Day",federal
2029-09-03,"Labor Day",federal
2029-10-08,"Columbus Day",federal
2029-11-06,"Election Day",new_york_state
2029-11-11,"Veterans Day",federal
2029-11-12,"Veterans Day (observed)",federal
2029-11-22,"Thanksgiving Day",federal
2029-12-25,"Christmas Day",federal
2030-01-01,"New Year's Day",federal
2030-01-21,"Martin Luther King Jr. Day",federal
2030-02-18,"Washington's Birthday",federal
2030-05-27,"Memorial Day",federal
2030-06-19,"Juneteenth National Independence Day",federal
2030-07-04,"Independence Day",federal
2030-09-02,"Labor Day",federal
2030-10-14,"Columbus Day",federal
2030-11-05,"Election Day",new_york_state
2030-11-11,"Veterans Day",federal
2030-11-28,"Thanksgiving Day",federal
2030-12-25,"Christmas Day",federal
