zone_id,zone,borough,service_zone,is_unknown,is_airport,has_geometry,part_count,centroid_lon,centroid_lat,area_sq_mi
1,Newark Airport,EWR,EWR,0,1,1,1,-74.174002,40.69183,2.8352
2,Jamaica Bay,Queens,Boro Zone,0,0,1,1,-73.8313,40.616746,5.162
3,Allerton/Pelham Gardens,Bronx,Boro Zone,0,0,1,1,-73.847422,40.864474,1.1365
4,Alphabet City,Manhattan,Yellow Zone,0,0,1,1,-73.976968,40.723752,0.2878
5,Arden Heights,Staten Island,Boro Zone,0,0,1,1,-74.188485,40.552659,1.8084
6,Arrochar/Fort Wadsworth,Staten Island,Boro Zone,0,0,1,1,-74.07177,40.600324,1.4683
7,Astoria,Queens,Boro Zone,0,0,1,1,-73.919694,40.761493,1.4112
8,Astoria Park,Queens,Boro Zone,0,0,1,1,-73.923086,40.778559,0.0962
9,Auburndale,Queens,Boro Zone,0,0,1,1,-73.787949,40.751034,1.2255
10,Baisley Park,Queens,Boro Zone,0,0,1,1,-73.790987,40.678953,1.5798
11,Bath Beach,Brooklyn,Boro Zone,0,0,1,1,-74.007488,40.604273,0.7366
12,Battery Park,Manhattan,Yellow Zone,0,0,1,1,-74.015563,40.702946,0.0391
13,Battery Park City,Manhattan,Yellow Zone,0,0,1,1,-74.016079,40.712038,0.1766
14,Bay Ridge,Brooklyn,Boro Zone,0,0,1,1,-74.029893,40.624834,2.4076
15,Bay Terrace/Fort Totten,Queens,Boro Zone,0,0,1,1,-73.785973,40.783333,1.6606
16,Bayside,Queens,Boro Zone,0,0,1,1,-73.773421,40.762738,2.8982
17,Bedford,Brooklyn,Boro Zone,0,0,1,1,-73.949905,40.691507,1.1704
18,Bedford Park,Bronx,Boro Zone,0,0,1,1,-73.890184,40.867682,0.538
19,Bellerose,Queens,Boro Zone,0,0,1,1,-73.726655,40.735487,1.9799
20,Belmont,Bronx,Boro Zone,0,0,1,1,-73.885867,40.857779,0.4863
21,Bensonhurst East,Brooklyn,Boro Zone,0,0,1,1,-73.983538,40.601429,1.2833
22,Bensonhurst West,Brooklyn,Boro Zone,0,0,1,1,-73.995259,40.612218,1.674
23,Bloomfield/Emerson Hill,Staten Island,Boro Zone,0,0,1,1,-74.170885,40.606448,7.587
24,Bloomingdale,Manhattan,Yellow Zone,0,0,1,1,-73.965479,40.801971,0.1517
25,Boerum Hill,Brooklyn,Boro Zone,0,0,1,1,-73.986114,40.685634,0.45
26,Borough Park,Brooklyn,Boro Zone,0,0,1,1,-73.988661,40.630949,1.9372
27,Breezy Point/Fort Tilden/Riis Beach,Queens,Boro Zone,0,0,1,1,-73.906912,40.559135,2.6218
28,Briarwood/Jamaica Hills,Queens,Boro Zone,0,0,1,1,-73.808729,40.711596,1.055
29,Brighton Beach,Brooklyn,Boro Zone,0,0,1,1,-73.961217,40.580922,0.6163
30,Broad Channel,Queens,Boro Zone,0,0,1,1,-73.821928,40.603687,0.5293
31,Bronx Park,Bronx,Boro Zone,0,0,1,1,-73.875476,40.857746,1.2074
32,Bronxdale,Bronx,Boro Zone,0,0,1,1,-73.864901,40.864002,0.5454
33,Brooklyn Heights,Brooklyn,Boro Zone,0,0,1,1,-73.99525,40.695798,0.3952
34,Brooklyn Navy Yard,Brooklyn,Boro Zone,0,0,1,1,-73.971189,40.700856,0.4015
35,Brownsville,Brooklyn,Boro Zone,0,0,1,1,-73.910258,40.664003,1.1741
36,Bushwick North,Brooklyn,Boro Zone,0,0,1,1,-73.91771,40.700522,0.8974
37,Bushwick South,Brooklyn,Boro Zone,0,0,1,1,-73.922237,40.694994,1.6382
